"month"	"hits"	"regex"	"usergroup"
"201007"	120	"misc"	"anonymous"
"201008"	93	"misc"	"anonymous"
"201009"	106	"misc"	"anonymous"
"201010"	91	"misc"	"anonymous"
"201011"	115	"misc"	"anonymous"
"201012"	146	"misc"	"anonymous"
"201101"	167	"misc"	"anonymous"
"201102"	172	"misc"	"anonymous"
"201103"	123	"misc"	"anonymous"
"201104"	85	"misc"	"anonymous"
"201105"	97	"misc"	"anonymous"
"201106"	79	"misc"	"anonymous"
"201107"	77	"misc"	"anonymous"
"201108"	108	"misc"	"anonymous"
"201109"	138	"misc"	"anonymous"
"201110"	125	"misc"	"anonymous"
"201111"	97	"misc"	"anonymous"
"201112"	207	"misc"	"anonymous"
"201201"	123	"misc"	"anonymous"
"201202"	120	"misc"	"anonymous"
"201203"	130	"misc"	"anonymous"
"201204"	111	"misc"	"anonymous"
"201205"	102	"misc"	"anonymous"
"201206"	107	"misc"	"anonymous"
"201207"	86	"misc"	"anonymous"
"201208"	92	"misc"	"anonymous"
"201209"	110	"misc"	"anonymous"
"201210"	113	"misc"	"anonymous"
"201211"	100	"misc"	"anonymous"
"201212"	121	"misc"	"anonymous"
"201301"	127	"misc"	"anonymous"
"201302"	111	"misc"	"anonymous"
"201303"	91	"misc"	"anonymous"
"201304"	104	"misc"	"anonymous"
"201305"	109	"misc"	"anonymous"
"201306"	317	"misc"	"anonymous"
"201307"	82	"misc"	"anonymous"
"201308"	102	"misc"	"anonymous"
"201309"	107	"misc"	"anonymous"
"201310"	115	"misc"	"anonymous"
"201311"	81	"misc"	"anonymous"
"201312"	92	"misc"	"anonymous"
"201401"	104	"misc"	"anonymous"
